Username,Tweets,Date,Likes,Retweets
Avanti West Coast," No Service: Due to unforeseen circumstances, services on the Manchester to London route are temporarily suspended. We apologize for the inconvenience caused. Train number 2345 on this route is cancelled. #AvantiWestCoast",28/06/2023,15,10
Avanti West Coast,Delay Notification: Trains on the Edinburgh to Birmingham route are running behind schedule. We appreciate your patience during this time. #AvantiWestCoast,27/06/2023,12,10
Avanti West Coast,Service Disruption: We regret to inform you that there will be no service on the Liverpool to Birmingham route until further notice. Please make alternative travel arrangements. Train number 6789 is cancelled. #AvantiWestCoast,26/06/2023,34,2
Avanti West Coast,Service Disruption: Glasgow Central to Manchester services may be affected by engineering works. Please plan your journey accordingly. #AvantiWestCoast,25/06/2023,46,5
Avanti West Coast, Currently Running: Trains on the Liverpool to London Euston route are operating as scheduled. We appreciate your patronage. Train number 9012 is on time. #AvantiWestCoast,24/06/2023,33,1
Avanti West Coast,Service Update: Glasgow Central to London Euston services may be disrupted due to ongoing strike action. Please plan your journey accordingly. Train number 7890 on the Glasgow to London Euston route may be subject to delays. #AvantiWestCoast,23/06/2023,11,8
Avanti West Coast,Delay Notification: Trains on the Edinburgh to Birmingham route are running behind schedule. We appreciate your patience during this time. #AvantiWestCoast,22/06/2023,68,10
Avanti West Coast,Important Service Announcement: Edinburgh Waverley station will be closed for maintenance. Please make alternative travel arrangements. #AvantiWestCoast,21/06/2023,97,6
Avanti West Coast,Today at Crewe we're raising money for @hopesandbeams_ by taking on the 10k in 10 hours challenge.,20/06/2023,27,7
Avanti West Coast,Service Disruption: Edinburgh to Birmingham services may be affected by strike action. We apologize for any inconvenience caused. Train number 3456 scheduled to depart Edinburgh Waverley at 13:15 may experience delays. #AvantiWestCoast,19/06/2023,41,3
Avanti West Coast,Service Update: Glasgow Central to Manchester services are operating without any disruptions. Sit back and enjoy the journey with AvantiWestCoast! Train number 5678 is on time. #AvantiWestCoast,18/06/2023,89,6
Avanti West Coast," No Service: Due to unforeseen circumstances, services on the Manchester to London route are temporarily suspended. We apologize for the inconvenience caused. Train number 2345 on this route is cancelled. #AvantiWestCoast",17/06/2023,97,2
Avanti West Coast,"UPDATE: Following trespassers on the railway between Milton Keynes Central and Watford Junction, all lines have now reopened. Residual delays are still expected. Train number 1234 scheduled to depart Milton Keynes Central at 10:30 may experience some delays. #AvantiWestCoast",16/06/2023,52,9
Avanti West Coast,"Travelling into London today? Services and stations are expected to be extremely busy. Please be patient with our colleagues and fellow customers, and make a note of the last train services of the day.",15/06/2023,34,5
Avanti West Coast,"Attention Passengers: Due to strike action, there may be disruptions on the Liverpool to London route. We appreciate your understanding during this time. Train number 9012 scheduled to depart Liverpool Lime Street at 11:30 may be delayed. #AvantiWestCoast",14/06/2023,19,5
Avanti West Coast,"Attention Passengers: Due to strike action, there may be disruptions on the Liverpool to London route. We appreciate your understanding during this time. Train number 9012 scheduled to depart Liverpool Lime Street at 11:30 may be delayed. #AvantiWestCoast",13/06/2023,11,1
Avanti West Coast,Delays Update: Manchester to London Euston services are currently experiencing delays. We apologize for any inconvenience caused. #AvantiWestCoast,12/06/2023,51,6
Avanti West Coast,The rail industry is launching a consultation on plans to modernise customer service in railway stations. Read the proposals: https://avantiwestcoast.co.uk/consultation,11/06/2023,70,8
Avanti West Coast,Service Update: Our services are temporarily affected due to ongoing strike action. Please check our website for the latest updates. Train number 5678 on the Glasgow to London Euston route may be subject to delays. #AvantiWestCoast,10/06/2023,3,4
Avanti West Coast,"Due to a speed restriction over defective track between Banbury and Leamington Spa, trains have to run at reduced speed on the line towards Stourbridge Junction. Train services running through these stations may be delayed by up to 10 minutes. Sorry for any inconvenience caused.",09/06/2023,2,3
Avanti West Coast,Delay Notification: Trains on the Edinburgh to Birmingham route are running behind schedule. We appreciate your patience during this time. #AvantiWestCoast,08/06/2023,62,7
Avanti West Coast,Cute ways to travel this month. Go green. Go train. Our new #ClimateTrain,07/06/2023,54,7
Avanti West Coast,Delays Update: Manchester to London Euston services are currently experiencing delays. We apologize for any inconvenience caused. #AvantiWestCoast,06/06/2023,96,1
Avanti West Coast,"Due to a points failure at Leamington Spa, the line towards London is disrupted. Train services running through this station may be delayed by up to 30 minutes.",05/06/2023,7,2
Avanti West Coast,No Service: Manchester to London Euston services are currently suspended. We apologize for the disruption. Train number 7890 on this route is cancelled. #AvantiWestCoast,04/06/2023,8,1
Avanti West Coast,"Important Notice: Due to station renovations, Glasgow Queen Street station will be closed for the specified period. We apologize for any inconvenience caused. #AvantiWestCoast",03/06/2023,100,8
Avanti West Coast,Service Disruption: We regret to inform you that there will be no service on the Liverpool to Birmingham route until further notice. Please make alternative travel arrangements. Train number 6789 is cancelled. #AvantiWestCoast,02/06/2023,62,9
Avanti West Coast,The rail industry is launching a consultation on plans to modernise customer service in railway stations. Read the proposals: https://avantiwestcoast.co.uk/consultation,01/06/2023,50,2
Avanti West Coast,Station Closure: Liverpool Lime Street station will be temporarily closed for essential repairs. We apologize for any inconvenience caused. #AvantiWestCoast,31/05/2023,4,4
Avanti West Coast,Today at Crewe we're raising money for @hopesandbeams_ by taking on the 10k in 10 hours challenge.,30/05/2023,63,2
Avanti West Coast,Are you a First Class fan?,29/05/2023,24,7
Avanti West Coast,Engineering Works Alert: Trains on the Edinburgh to Birmingham route will be impacted by planned maintenance. Alternative travel options will be available. #AvantiWestCoast,28/05/2023,77,10
Avanti West Coast,Important Service Announcement: Edinburgh Waverley station will be closed for maintenance. Please make alternative travel arrangements. #AvantiWestCoast,27/05/2023,91,4
Avanti West Coast,Travel info can be found here: https://avantiwestcoast.co.uk/travel-information/plan-your-journey/planned-engineering-works/christmas-planned-work-2021. We hope you all have a wonderful festive break,26/05/2023,5,7
Avanti West Coast,Important Service Announcement: Edinburgh Waverley station will be closed for maintenance. Please make alternative travel arrangements. #AvantiWestCoast,25/05/2023,5,10
Avanti West Coast,Service Announcement: Trains between London Euston and Glasgow may experience delays. We apologize for the inconvenience caused. #AvantiWestCoast,24/05/2023,7,4
Avanti West Coast,"Due to a points failure at Leamington Spa, the line towards London is disrupted. Train services running through this station may be delayed by up to 30 minutes.",23/05/2023,95,9
Avanti West Coast,Service Disruption: Edinburgh to Birmingham services may be affected by strike action. We apologize for any inconvenience caused. Train number 3456 scheduled to depart Edinburgh Waverley at 13:15 may experience delays. #AvantiWestCoast,22/05/2023,23,8
Avanti West Coast,Service Disruption: We regret to inform you that there will be no service on the Liverpool to Birmingham route until further notice. Please make alternative travel arrangements. Train number 6789 is cancelled. #AvantiWestCoast,21/05/2023,77,2
Avanti West Coast, Currently Running: Trains on the Liverpool to London Euston route are operating as scheduled. We appreciate your patronage. Train number 9012 is on time. #AvantiWestCoast,20/05/2023,4,2
Avanti West Coast,Delay Notification: Trains on the Edinburgh to Birmingham route are running behind schedule. We appreciate your patience during this time. #AvantiWestCoast,19/05/2023,57,1
Avanti West Coast,Service Update: Our trains are running smoothly across the network. Have a pleasant journey! Train number 1234 from London Euston to Birmingham New Street is on time. #AvantiWestCoast,18/05/2023,20,3
Avanti West Coast,We are signing off for a few days! There will be no services or Social Media assistance on 25th or 26th December.,17/05/2023,64,1
Avanti West Coast,Delays Expected: Trains on the Liverpool to Birmingham route may be delayed. We apologize for any inconvenience caused. #AvantiWestCoast,16/05/2023,38,2
Avanti West Coast,The rail industry is launching a consultation on plans to modernise customer service in railway stations. Read the proposals: https://avantiwestcoast.co.uk/consultation,15/05/2023,35,1
Avanti West Coast,"Important Service Announcement: Due to unforeseen operational issues, there will be no service on the Edinburgh to London Euston route. We apologize for the inconvenience caused. Train number 9012 is cancelled. #AvantiWestCoast",14/05/2023,85,8
Avanti West Coast,"Due to a fault with the signaling system between Sudbury Hill Harrow and Sudbury & Harrow Road, trains have to run at reduced speed on the line towards London. Train services running through these stations may be delayed by up to 8 minutes.",13/05/2023,96,5
Avanti West Coast,Important Service Announcement: Edinburgh Waverley station will be closed for maintenance. Please make alternative travel arrangements. #AvantiWestCoast,12/05/2023,47,4
Avanti West Coast, Attention Passengers: We value your feedback. Share your travel experience with us and let us know how we can enhance your journey. #AvantiWestCoast,11/05/2023,74,5
Avanti West Coast,"You can now join Club Avanti for exclusive perks: -10% discount on your first return journey, -Free welcome drink, -10% off in our onboard shop, -Free Standard Premium and First Class tickets",10/05/2023,87,1
Avanti West Coast,Station Closure Update: Manchester Piccadilly station will be temporarily closed for renovations. We appreciate your understanding during this time. #AvantiWestCoast,09/05/2023,89,8
Avanti West Coast,We are looking to our future generation for help! Enter your train name submission here - https://avantiwestcoast.co.uk/climate-train-competition,08/05/2023,83,3
Avanti West Coast,Service Disruption: Edinburgh to Birmingham services may be affected by strike action. We apologize for any inconvenience caused. Train number 3456 scheduled to depart Edinburgh Waverley at 13:15 may experience delays. #AvantiWestCoast,07/05/2023,24,2
Avanti West Coast,"UPDATE: Following trespassers on the railway between Milton Keynes Central and Watford Junction, all lines have now reopened. Residual delays are still expected. Train number 1234 scheduled to depart Milton Keynes Central at 10:30 may experience some delays. #AvantiWestCoast",06/05/2023,55,5
Avanti West Coast,Delay Notification: Trains on the Edinburgh to Birmingham route are running behind schedule. We appreciate your patience during this time. #AvantiWestCoast,05/05/2023,58,2
Avanti West Coast,"Due to a speed restriction over defective track between Banbury and Leamington Spa, trains have to run at reduced speed on the line towards Stourbridge Junction. Train services running through these stations may be delayed by up to 10 minutes. Sorry for any inconvenience caused.",04/05/2023,70,5
Avanti West Coast,"Important Notice: Due to station renovations, Glasgow Queen Street station will be closed for the specified period. We apologize for any inconvenience caused. #AvantiWestCoast",03/05/2023,74,3
Avanti West Coast,"You can now join Club Avanti for exclusive perks: -10% discount on your first return journey, -Free welcome drink, -10% off in our onboard shop, -Free Standard Premium and First Class tickets",02/05/2023,76,4
Avanti West Coast,"Due to a speed restriction over defective track between Banbury and Leamington Spa, trains have to run at reduced speed on the line towards Stourbridge Junction. Train services running through these stations may be delayed by up to 10 minutes. Sorry for any inconvenience caused.",01/05/2023,45,2
Avanti West Coast," No Service: Due to unforeseen circumstances, services on the Manchester to London route are temporarily suspended. We apologize for the inconvenience caused. Train number 2345 on this route is cancelled. #AvantiWestCoast",30/04/2023,86,10
Avanti West Coast,"Due to a fault with the signaling system between Sudbury Hill Harrow and Sudbury & Harrow Road, trains have to run at reduced speed on the line towards London. Train services running through these stations may be delayed by up to 8 minutes.",29/04/2023,6,8
Avanti West Coast,Delay Notification: Trains on the Edinburgh to Birmingham route are running behind schedule. We appreciate your patience during this time. #AvantiWestCoast,28/04/2023,53,10
Avanti West Coast,"Due to a points failure at Leamington Spa, the line towards London is disrupted. Train services running through this station may be delayed by up to 30 minutes.",27/04/2023,29,9
Avanti West Coast,"Delays Alert: Due to unforeseen circumstances, delays are expected on the Birmingham to Manchester route. Please allow extra time for your journey. #AvantiWestCoast",26/04/2023,32,9
Avanti West Coast,No Service: Manchester to London Euston services are currently suspended. We apologize for the disruption. Train number 7890 on this route is cancelled. #AvantiWestCoast,25/04/2023,6,8
Avanti West Coast,No Service: Manchester to London Euston services are currently suspended. We apologize for the disruption. Train number 7890 on this route is cancelled. #AvantiWestCoast,24/04/2023,25,3
Avanti West Coast,Important Service Announcement: Edinburgh Waverley station will be closed for maintenance. Please make alternative travel arrangements. #AvantiWestCoast,23/04/2023,66,10
Avanti West Coast,"Important Notice: Due to station renovations, Glasgow Queen Street station will be closed for the specified period. We apologize for any inconvenience caused. #AvantiWestCoast",22/04/2023,18,5
Avanti West Coast,"Important Service Announcement: Due to unforeseen operational issues, there will be no service on the Edinburgh to London Euston route. We apologize for the inconvenience caused. Train number 9012 is cancelled. #AvantiWestCoast",21/04/2023,23,8
Avanti West Coast,Service Disruption: We regret to inform you that there will be no service on the Liverpool to Birmingham route until further notice. Please make alternative travel arrangements. Train number 6789 is cancelled. #AvantiWestCoast,20/04/2023,21,3
Avanti West Coast,Service Disruption: Glasgow Central to Manchester services may be affected by engineering works. Please plan your journey accordingly. #AvantiWestCoast,19/04/2023,12,7
Avanti West Coast,No Service: Manchester to London Euston services are currently suspended. We apologize for the disruption. Train number 7890 on this route is cancelled. #AvantiWestCoast,18/04/2023,61,2
Avanti West Coast,"Customer Service Update: Your satisfaction is our priority. If you have any concerns or feedback, please don't hesitate to reach out to us. #AvantiWestCoast",17/04/2023,51,2
Avanti West Coast,No Service: Manchester to London Euston services are currently suspended. We apologize for the disruption. Train number 7890 on this route is cancelled. #AvantiWestCoast,16/04/2023,49,4
Avanti West Coast,Service Announcement: Trains between London Euston and Glasgow may experience delays. We apologize for the inconvenience caused. #AvantiWestCoast,15/04/2023,31,8
Avanti West Coast,"Important Notice: Due to station renovations, Glasgow Queen Street station will be closed for the specified period. We apologize for any inconvenience caused. #AvantiWestCoast",14/04/2023,99,10
Avanti West Coast," No Service: Due to unforeseen circumstances, services on the Manchester to London route are temporarily suspended. We apologize for the inconvenience caused. Train number 2345 on this route is cancelled. #AvantiWestCoast",13/04/2023,50,7
Avanti West Coast,Delay Notification: Trains on the Edinburgh to Birmingham route are running behind schedule. We appreciate your patience during this time. #AvantiWestCoast,12/04/2023,12,2
Avanti West Coast,Service Disruption: We regret to inform you that there will be no service on the Liverpool to Birmingham route until further notice. Please make alternative travel arrangements. Train number 6789 is cancelled. #AvantiWestCoast,11/04/2023,16,4
Avanti West Coast,Service Disruption: Glasgow Central to Manchester services may be affected by engineering works. Please plan your journey accordingly. #AvantiWestCoast,10/04/2023,56,5
Avanti West Coast,Engineering Works Notice: Please be advised that essential maintenance work is taking place between Birmingham New Street and Manchester Piccadilly. Delays are expected. #AvantiWestCoast,09/04/2023,24,8
Avanti West Coast,"Station Closure: Attention passengers, please note that Birmingham International station will be temporarily closed for maintenance. Alternative transport options will be available. #AvantiWestCoast",08/04/2023,99,5
Avanti West Coast,Which train matches your Monday mood?,07/04/2023,58,1
Avanti West Coast,Important Service Announcement: Edinburgh Waverley station will be closed for maintenance. Please make alternative travel arrangements. #AvantiWestCoast,06/04/2023,24,5
Avanti West Coast,"Service Disruption: Due to industrial action, there may be disruptions on the Birmingham to Manchester route. We apologize for any inconvenience caused. Train number 1234 scheduled to depart Birmingham New Street at 09:00 may experience delays. #AvantiWestCoast",05/04/2023,87,3
Avanti West Coast,Service Disruption: Glasgow Central to Birmingham services are temporarily suspended. We apologize for any inconvenience caused. Train number 3456 on this route is cancelled. #AvantiWestCoast,04/04/2023,90,2
Avanti West Coast, Attention Passengers: We value your feedback. Share your travel experience with us and let us know how we can enhance your journey. #AvantiWestCoast,03/04/2023,59,6
Avanti West Coast," No Service: Due to unforeseen circumstances, services on the Manchester to London route are temporarily suspended. We apologize for the inconvenience caused. Train number 2345 on this route is cancelled. #AvantiWestCoast",02/04/2023,68,9
Avanti West Coast,No Service: Manchester to London Euston services are currently suspended. We apologize for the disruption. Train number 7890 on this route is cancelled. #AvantiWestCoast,01/04/2023,74,2
Avanti West Coast,Service Disruption: We regret to inform you that there will be no service on the Liverpool to Birmingham route until further notice. Please make alternative travel arrangements. Train number 6789 is cancelled. #AvantiWestCoast,30/03/2023,69,5
Avanti West Coast,"Attention Passengers: Due to strike action, there may be disruptions on the Liverpool to London route. We appreciate your understanding during this time. Train number 9012 scheduled to depart Liverpool Lime Street at 11:30 may be delayed. #AvantiWestCoast",29/03/2023,103,9
Avanti West Coast, Currently Running: Trains on the Liverpool to London Euston route are operating as scheduled. We appreciate your patronage. Train number 9012 is on time. #AvantiWestCoast,28/03/2023,19,28
Avanti West Coast,Engineering Works Alert: Trains on the Edinburgh to Birmingham route will be impacted by planned maintenance. Alternative travel options will be available. #AvantiWestCoast,27/03/2023,148,1
Avanti West Coast,Delays Update: Manchester to London Euston services are currently experiencing delays. We apologize for any inconvenience caused. #AvantiWestCoast,26/03/2023,77,28
Avanti West Coast, Attention Passengers: We value your feedback. Share your travel experience with us and let us know how we can enhance your journey. #AvantiWestCoast,25/03/2023,41,2
Avanti West Coast,"Station Closure: Attention passengers, please note that Birmingham International station will be temporarily closed for maintenance. Alternative transport options will be available. #AvantiWestCoast",24/03/2023,156,2
Avanti West Coast,"You can now join Club Avanti for exclusive perks: -10% discount on your first return journey, -Free welcome drink, -10% off in our onboard shop, -Free Standard Premium and First Class tickets",23/03/2023,220,21
Avanti West Coast,Find out how your journey will be affected  https://avantiwestcoast.co.uk/travel-information/plan-your-journey/planned-engineering-works/carstairs-modernisation-project,22/03/2023,70,16
Avanti West Coast,Service Update: Our trains are running smoothly across the network. Have a pleasant journey! Train number 1234 from London Euston to Birmingham New Street is on time. #AvantiWestCoast,21/03/2023,3,22
?,Service promotion,21/03/2023,N/A,N/A
Avanti West Coast,Service Announcement: Trains between London Euston and Glasgow may experience delays. We apologize for the inconvenience caused. #AvantiWestCoast,20/03/2023,82,18
Avanti West Coast,Join now https://avantiwestcoast.co.uk/tickets-and-savings/club-avanti,19/03/2023,7,18
Avanti West Coast,Service Disruption: Edinburgh to Birmingham services may be affected by strike action. We apologize for any inconvenience caused. Train number 3456 scheduled to depart Edinburgh Waverley at 13:15 may experience delays. #AvantiWestCoast,18/03/2023,251,16
Avanti West Coast,"Due to a speed restriction over defective track between Banbury and Leamington Spa, trains have to run at reduced speed on the line towards Stourbridge Junction. Train services running through these stations may be delayed by up to 10 minutes. Sorry for any inconvenience caused.",17/03/2023,302,5
Avanti West Coast,"In line with updated government guidance, face coverings are compulsory on all public transport, including onboard Avanti West Coast services, and at stations unless you are exempt. Thank you for helping to control the spread of the virus and protect our staff and fellow customers",16/03/2023,111,18
Avanti West Coast,Service Disruption: We regret to inform you that there will be no service on the Liverpool to Birmingham route until further notice. Please make alternative travel arrangements. Train number 6789 is cancelled. #AvantiWestCoast,15/03/2023,17,19
Avanti West Coast,No Service: Manchester to London Euston services are currently suspended. We apologize for the disruption. Train number 7890 on this route is cancelled. #AvantiWestCoast,14/03/2023,212,24
Avanti West Coast,"Due to a speed restriction over defective track between Banbury and Leamington Spa, trains have to run at reduced speed on the line towards Stourbridge Junction. Train services running through these stations may be delayed by up to 10 minutes. Sorry for any inconvenience caused.",13/03/2023,204,28
Avanti West Coast,Station Closure: Liverpool Lime Street station will be temporarily closed for essential repairs. We apologize for any inconvenience caused. #AvantiWestCoast,12/03/2023,190,29
Avanti West Coast,Sometimes your seat needs to take a seat.,11/03/2023,384,3
Avanti West Coast,Service Disruption: We regret to inform you that there will be no service on the Liverpool to Birmingham route until further notice. Please make alternative travel arrangements. Train number 6789 is cancelled. #AvantiWestCoast,10/03/2023,55,9
Avanti West Coast,"Tell us your destination, without telling us your destination",09/03/2023,381,19
Avanti West Coast,Service Disruption: Glasgow Central to Manchester services may be affected by engineering works. Please plan your journey accordingly. #AvantiWestCoast,08/03/2023,91,27
Avanti West Coast,Today at Crewe we're raising money for @hopesandbeams_ by taking on the 10k in 10 hours challenge.,07/03/2023,42,18
Avanti West Coast,Station Closure: Liverpool Lime Street station will be temporarily closed for essential repairs. We apologize for any inconvenience caused. #AvantiWestCoast,06/03/2023,184,10
Avanti West Coast,Find out how your journey will be affected  https://avantiwestcoast.co.uk/travel-information/plan-your-journey/planned-engineering-works/carstairs-modernisation-project,05/03/2023,46,15
Avanti West Coast,Service Update: Glasgow Central to London Euston services may be disrupted due to ongoing strike action. Please plan your journey accordingly. Train number 7890 on the Glasgow to London Euston route may be subject to delays. #AvantiWestCoast,04/03/2023,414,16
Avanti West Coast,Engineering Works Alert: Trains on the Edinburgh to Birmingham route will be impacted by planned maintenance. Alternative travel options will be available. #AvantiWestCoast,03/03/2023,38,1
Avanti West Coast,Service Disruption: Edinburgh to Birmingham services may be affected by strike action. We apologize for any inconvenience caused. Train number 3456 scheduled to depart Edinburgh Waverley at 13:15 may experience delays. #AvantiWestCoast,02/03/2023,37,1
Avanti West Coast,"Heading to Birmingham Pride this Saturday? Arrive in style aboard the Progress Train! Departing from Euston at 8.23am, Saturday 25th!",01/03/2023,367,3
Avanti West Coast,Service Disruption: We regret to inform you that there will be no service on the Liverpool to Birmingham route until further notice. Please make alternative travel arrangements. Train number 6789 is cancelled. #AvantiWestCoast,28/02/2023,67,24
Avanti West Coast,Attention Passengers: Your feedback is important to us. Let us know how we can improve your travel experience. #AvantiWestCoast,27/02/2023,81,6
Avanti West Coast,"Due to a fault with the signaling system between Sudbury Hill Harrow and Sudbury & Harrow Road, trains have to run at reduced speed on the line towards London. Train services running through these stations may be delayed by up to 8 minutes.",26/02/2023,134,15
Avanti West Coast,Which train matches your Monday mood?,25/02/2023,241,2
Avanti West Coast,"Delays Alert: Due to unforeseen circumstances, delays are expected on the Birmingham to Manchester route. Please allow extra time for your journey. #AvantiWestCoast",24/02/2023,259,4
Avanti West Coast,Find out how your journey will be affected  https://avantiwestcoast.co.uk/travel-information/plan-your-journey/planned-engineering-works/carstairs-modernisation-project,23/02/2023,226,7
Avanti West Coast,The rail industry is launching a consultation on plans to modernise customer service in railway stations. Read the proposals: https://avantiwestcoast.co.uk/consultation,22/02/2023,298,18
Avanti West Coast,"Travelling into London today? Services and stations are expected to be extremely busy. Please be patient with our colleagues and fellow customers, and make a note of the last train services of the day.",21/02/2023,52,6
Avanti West Coast,"Due to a speed restriction over defective track between Banbury and Leamington Spa, trains have to run at reduced speed on the line towards Stourbridge Junction. Train services running through these stations may be delayed by up to 10 minutes. Sorry for any inconvenience caused.",20/02/2023,370,21
Avanti West Coast,Find out how your journey will be affected  https://avantiwestcoast.co.uk/travel-information/plan-your-journey/planned-engineering-works/carstairs-modernisation-project,19/02/2023,395,11
Avanti West Coast,Which train matches your Monday mood?,18/02/2023,67,15
Avanti West Coast,"Delays Alert: Due to unforeseen circumstances, delays are expected on the Birmingham to Manchester route. Please allow extra time for your journey. #AvantiWestCoast",17/02/2023,293,9
Avanti West Coast,Delays Expected: Trains on the Liverpool to Birmingham route may be delayed. We apologize for any inconvenience caused. #AvantiWestCoast,16/02/2023,159,8
Avanti West Coast,Service Disruption: Glasgow Central to Manchester services may be affected by engineering works. Please plan your journey accordingly. #AvantiWestCoast,15/02/2023,85,20
Avanti West Coast,Engineering Works Alert: Trains on the Edinburgh to Birmingham route will be impacted by planned maintenance. Alternative travel options will be available. #AvantiWestCoast,14/02/2023,278,30
Avanti West Coast, Currently Running: Trains on the Liverpool to London Euston route are operating as scheduled. We appreciate your patronage. Train number 9012 is on time. #AvantiWestCoast,13/02/2023,141,18
Avanti West Coast,Important Service Announcement: Edinburgh Waverley station will be closed for maintenance. Please make alternative travel arrangements. #AvantiWestCoast,12/02/2023,34,18
Avanti West Coast,"Service Disruption: Due to industrial action, there may be disruptions on the Birmingham to Manchester route. We apologize for any inconvenience caused. Train number 1234 scheduled to depart Birmingham New Street at 09:00 may experience delays. #AvantiWestCoast",11/02/2023,319,18
Avanti West Coast,"Due to a fault with the signaling system between Sudbury Hill Harrow and Sudbury & Harrow Road, trains have to run at reduced speed on the line towards London. Train services running through these stations may be delayed by up to 8 minutes.",10/02/2023,412,15
Avanti West Coast,Service Update: Our trains are running smoothly across the network. Have a pleasant journey! Train number 1234 from London Euston to Birmingham New Street is on time. #AvantiWestCoast,09/02/2023,263,21
Avanti West Coast,Service Disruption: We regret to inform you that there will be no service on the Liverpool to Birmingham route until further notice. Please make alternative travel arrangements. Train number 6789 is cancelled. #AvantiWestCoast,08/02/2023,121,10
Avanti West Coast,"Due to a fault with the signaling system between Sudbury Hill Harrow and Sudbury & Harrow Road, trains have to run at reduced speed on the line towards London. Train services running through these stations may be delayed by up to 8 minutes.",07/02/2023,115,5
Avanti West Coast,Find out how your journey will be affected  https://avantiwestcoast.co.uk/travel-information/plan-your-journey/planned-engineering-works/carstairs-modernisation-project,06/02/2023,335,5
Avanti West Coast,Service Update: Glasgow Central to London Euston services may be disrupted due to ongoing strike action. Please plan your journey accordingly. Train number 7890 on the Glasgow to London Euston route may be subject to delays. #AvantiWestCoast,05/02/2023,397,14
Avanti West Coast,"Attention Passengers: Due to strike action, there may be disruptions on the Liverpool to London route. We appreciate your understanding during this time. Train number 9012 scheduled to depart Liverpool Lime Street at 11:30 may be delayed. #AvantiWestCoast",04/02/2023,330,10
Avanti West Coast,The rail industry is launching a consultation on plans to modernise customer service in railway stations. Read the proposals: https://avantiwestcoast.co.uk/consultation,03/02/2023,28,19
Avanti West Coast,"Station Closure: Attention passengers, please note that Birmingham International station will be temporarily closed for maintenance. Alternative transport options will be available. #AvantiWestCoast",02/02/2023,392,10
Avanti West Coast," Currently Running: Trains on the London to Birmingham route are operating as scheduled. Sit back, relax, and enjoy your journey with AvantiWestCoast! #AvantiWestCoast",01/02/2023,39,23
Avanti West Coast,Engineering Works Notice: Please be advised that essential maintenance work is taking place between Birmingham New Street and Manchester Piccadilly. Delays are expected. #AvantiWestCoast,31/01/2023,79,30
Avanti West Coast,"Travelling into London today? Services and stations are expected to be extremely busy. Please be patient with our colleagues and fellow customers, and make a note of the last train services of the day.",30/01/2023,50,17
Avanti West Coast,No Service: Manchester to London Euston services are currently suspended. We apologize for the disruption. Train number 7890 on this route is cancelled. #AvantiWestCoast,29/01/2023,61,15
Avanti West Coast,"Due to a speed restriction over defective track between Banbury and Leamington Spa, trains have to run at reduced speed on the line towards Stourbridge Junction. Train services running through these stations may be delayed by up to 10 minutes. Sorry for any inconvenience caused.",28/01/2023,225,2
Avanti West Coast, Currently Running: Trains on the Liverpool to London Euston route are operating as scheduled. We appreciate your patronage. Train number 9012 is on time. #AvantiWestCoast,27/01/2023,197,6
Avanti West Coast,No Service: Manchester to London Euston services are currently suspended. We apologize for the disruption. Train number 7890 on this route is cancelled. #AvantiWestCoast,26/01/2023,81,15
Avanti West Coast," Customer Announcement: For any inquiries or travel assistance, please contact our dedicated customer support team. We're available to assist you. #AvantiWestCoast",25/01/2023,314,3
Avanti West Coast,"Delays Alert: Due to unforeseen circumstances, delays are expected on the Birmingham to Manchester route. Please allow extra time for your journey. #AvantiWestCoast",24/01/2023,107,21
